Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,FS,,,Qualifier 1 Results,Qualifier 2 Results,FS_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Benzo(k)fluoranthenene,50.490,415645,,39172,,50.507,542244,,58323,,50.489,44178,,5755,
Dinonyl phthalate,50.998,1114946,,15929,,51.025,77329963,,1507589,,50.991,9260705,,108898,
Benzo(e)pyrene,51.530,447554,,30223,,51.551,921765,,68377,,51.530,63451,,6273,
Triacontane (n-C30),51.506,92137,,144246,,51.534,1299662,,1989014,,51.506,107252,,173571,
"2,2',4,4',6,6'-Hexabromodiphenyl ether (BDE 155)",51.405,104277,,83316,62304,51.134,246,,,226,51.947,343,,201,94
"2,2',3,4,4'-Pentabromodiphenyl ether (BDE 85)",51.564,120447,,54563,55741,51.585,1573,,592,661,51.560,27,,54,61
Piperine,51.994,1748,,55,,51.754,9873,,18379,,51.242,4207,,11119,
Benzo[a]pyrene,51.781,368828,,33457,,51.801,807802,,72741,,51.787,52373,,6737,
"2,2',4,4',5,6'-Hexabromodiphenyl ether (BDE 154)",51.954,132083,,62989,47215,51.968,4021,,2135,1660,51.947,348,,203,94
Perylene,52.123,413313,,38475,,52.140,210863,,19458,,52.130,16012,,1465,
beta-Tocopherol,52.930,972,,11,,52.340,17455,,3079,,53.570,5380,,101,
Hentriacontane (n-C31),52.828,1208,,2017,,52.869,1569651,,2479328,,52.831,128677,,196891,
Methyl Dipentadecyl amine (?),52.994,191,,13,,53.035,974975,,53686,,52.997,47821,,3371,
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE 153)",53.333,126584,,44025,33364,53.354,6112,,1573,1567,53.333,504,,,53
Dotriacontane (n-C32),54.126,38119,,,,54.140,835604,,1365780,,54.115,71914,,110157,
Dihexdecyl amine (?),54.360,15,,11,,54.306,123646,,17005,,54.258,6964,,767,
Vitamin E (or tocopherol isomer),54.285,279,,19,,54.294,13908984,,897595,,54.268,1267831,,26296,
Cholesterol,54.268,37,,,,54.347,11474805,,16926927,,54.397,791015,,1050254,
Lathosterol,55.129,366,,,,55.173,1567761,,1149681,,55.400,43424,,74579,
"2,2',3,4,4',5-Hexabromodiphenyl ether (BDE 138)",55.153,105769,,42175,32222,55.170,573,,483,302,55.146,10,,12,27
Tritriacontane (n-C33),55.356,264,,167,,55.401,856516,,1247133,,55.369,60618,,99955,
Methyl dihexdecyl amine (?),55.597,25,,,,55.563,2117736,,364243,,55.529,115559,,21582,
"Cholesta-3,5-dien-7-one",55.644,738,,232,,55.665,593617,,224783,,55.637,58911,,17937,
"Indeno(1,2,3-cd)pyrene",56.207,478847,,97217,,56.214,789538,,133262,,56.206,55717,,8391,
Cholest-4-en-3-one,56.312,111,,1122,,56.292,88083,,121762,,56.278,8395,,14357,
Tetratriacontane (n-C34),56.756,74114,,122124,,56.790,488339,,843660,,56.749,45459,,56343,
beta-Sitosterol,56.949,21,,,,56.963,103794,,163103,,57.254,213,,3171,
"2,2',3,4,4',5',6-Heptabromodiphenyl ether (BDE 183)",56.939,65724,,62493,30760,56.983,121,,54,,57.172,20,,17,
Diheptadecyl amine (?),56.942,1731,,4,,56.956,435246,,45238,,56.922,26126,,3111,
"Benzo[g,h,i]perylene",57.288,420617,,68710,,57.305,768593,,130592,,57.301,58001,,10302,
Pentatriacontane (n-C35),58.528,191,,,,58.417,420855,,673127,,58.382,34749,,50834,
Methyl diheptadecyl amine (?),58.572,4396,,293,,58.603,16293960,,1207214,,58.555,988366,,63659,
"2,2',3,4,4',5,6-Heptabromodiphenyl ether (BDE 181)",59.894,45608,,44400,10253,59.911,320,,542,650,60.134,15,,18,
Hexatriacontane (n-C36),60.284,53165,,87251,,60.338,325883,,469421,,60.273,26289,,29644,
Dioctadecyl amine (?),60.582,8,,10,,60.535,974797,,66633,,60.493,55915,,2591,
Methyl dioctadecyl amine (?),62.835,7158,,66,,62.880,41464806,,1578664,,62.811,2564747,,79124,
Acenaphthene-D10,24.866,360115,,468286,,24.880,1492257,,1947746,,24.879,113309,,153852,
Phenanthrene-D10,32.217,671474,,82188,,32.220,3539194,,375143,,32.220,222485,,29382,
Benz(a)anthracene-D12,45.233,747008,,176634,,45.247,3993679,,974975,,45.237,285413,,66071,
Perylene-D12,52.008,421024,,100887,,52.029,1947959,,456637,,52.014,135130,,34218,
