Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,Blank 1,,,Qualifier 1 Results,Qualifier 2 Results,Blank 2,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
"2,3',4,5-Tetrabromodiphenyl ether (BDE 49)",45.077,178477,,68600,44169,45.151,3,,,2,45.124,14,,7,
Dicyclohexyl phthalate,45.145,2028203,,192956,2934,45.154,149635,,15824,10,45.154,285968,,27175,327
Bis(2-Ethylhexyl)phthalate (DEHP),45.145,2028222,,192953,9216,45.154,149657,,15779,1235,45.154,284727,,27152,2642
Bis(2-ethylhexyl)phthalate (DEHP-D4),45.121,401852,,4569653,,45.212,40,,,,45.059,54,,148,
Benz[a]anthracene,45.348,330887,,23885,,45.232,6143,,10526,,45.239,9140,,12921,
Chrysene,45.545,309431,,18940,,45.232,6154,,10531,,45.239,9110,,12940,
Dronabinol,45.623,102,,,,45.547,226,,,,45.554,159,,,
Hexacosane (n-C26),45.850,5707,,23596,,45.751,216138,,352644,,45.751,218321,,338606,
"2,2',4,4'-Tetrabromodiphenyl ether (BDE 47)",45.806,135628,,102921,67602,45.839,25,,,9,45.551,11,,,5
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 66)",46.433,153192,,66062,42525,46.432,9,,5,13,46.496,3,,4,11
Cannabinol,46.568,2716,,429,,46.625,64,,,,46.567,1808,,567,
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 77)",47.460,131839,,25701,,47.499,3,,,,47.604,10,,8,
Heptacosane (n-C27),47.253,8740,,8348,,47.272,163585,,217173,,47.269,138064,,219468,
Di-n-octyl phthalate,48.212,1100618,,12759,3185,48.238,937,,,,48.228,676,,,
Octacosane (n-C28),48.730,83200,,137780,,48.733,208629,,333810,,48.828,93178,,169334,
"2,2',4,4',6-Pentabromodiphenyl ether (BDE 100)",48.819,100002,,76324,81104,48.801,6,,,7,49.160,11,,17,17
Squalene,49.039,7940556,,1528841,4611316,48.974,107267,,26873,72808,48.973,225065,,57917,174030
"2,3',4,4',6-Pentabromodiphenyl ether (BDE 119)",49.151,132622,,48365,51952,49.180,7,,,7,49.184,32,,,17
"2,2',4,4',5-Pentabromodiphenyl ether (BDE 99)",49.764,120173,,57329,59557,49.777,25,,,7,49.787,17,,8,
Nonacosane (n-C29),50.137,4222,,6639,,50.149,518618,,826183,,50.146,651408,,951277,
Benzo(b)fluoranthene,50.388,381050,,33155,,50.373,11,,122,,50.400,74,,,
Benzo(k)fluoranthenene,50.482,381861,,37869,,50.604,14,,107,,50.461,17,,,
Dinonyl phthalate,50.994,1035020,,14078,,51.007,385,,25,,51.010,967,,21,
Benzo(e)pyrene,51.526,418640,,30874,,52.007,5299,,7280,,52.017,6735,,9336,
Triacontane (n-C30),51.509,82228,,135444,,51.522,300464,,528298,,51.532,305725,,684487,
"2,2',4,4',6,6'-Hexabromodiphenyl ether (BDE 155)",51.408,98186,,77124,57404,51.698,6,,14,,51.193,9,,,16
"2,2',3,4,4'-Pentabromodiphenyl ether (BDE 85)",51.567,113309,,51001,52579,51.444,20,,,7,51.461,8,,5,12
Piperine,52.001,1909,,18,,52.013,5802,,65,,52.013,13568,,563,
Benzo[a]pyrene,51.780,329346,,32133,,52.007,5277,,7243,,52.017,6682,,9284,
"2,2',4,4',5,6'-Hexabromodiphenyl ether (BDE 154)",51.950,124162,,56521,42141,51.946,12,,8,17,52.044,22,,10,21
Perylene,52.123,375413,,35935,,52.007,5258,,7039,,52.017,6607,,9238,
beta-Tocopherol,51.980,523,,6,,52.840,19599,,527,,52.837,24379,,312,
Hentriacontane (n-C31),52.851,407,,2282,,52.844,202514,,204815,,52.844,124230,,266169,
Methyl Dipentadecyl amine (?),53.014,142,,23,,52.830,380,,47,,53.186,862,,98,
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE 153)",53.329,118280,,40188,29800,53.457,16,,,11,53.521,11,,19,17
Dotriacontane (n-C32),54.122,81432,,130941,,54.131,81225,,87735,,54.128,58572,,110558,
Dihexdecyl amine (?),54.309,30,,15,,54.470,923,,54,,54.362,102,,20,
Vitamin E (or tocopherol isomer),54.258,373,,36,,53.928,3090,,2822,,53.925,5675,,2671,
Cholesterol,54.322,20,,,,54.111,63,,536,,54.301,38036,,42191,
Lathosterol,55.163,139,,,,55.182,67,,70,,54.321,19868,,22708,
"2,2',3,4,4',5-Hexabromodiphenyl ether (BDE 138)",55.156,96139,,38450,29959,54.972,22,,12,10,55.175,9,,8,6
Tritriacontane (n-C33),55.898,580,,,,55.572,197597,,355578,,55.572,566148,,1426344,
Methyl dihexdecyl amine (?),55.708,31,,3,,55.697,756,,,,55.595,75,,,
"Cholesta-3,5-dien-7-one",55.712,22,,,,55.640,603,,183,,56.297,9274,,2476,
"Indeno(1,2,3-cd)pyrene",56.206,439634,,83528,,56.300,3465,,2011,,56.311,3460,,3112,
Cholest-4-en-3-one,56.742,2630,,1144,,56.287,11179,,2567,,56.263,2374,,3058,
Tetratriacontane (n-C34),56.755,74751,,111241,,57.005,59883,,,,57.022,182426,,201023,
beta-Sitosterol,56.952,31,,17,,56.741,79,,,,56.937,463,,,
"2,2',3,4,4',5',6-Heptabromodiphenyl ether (BDE 183)",56.932,62228,,60090,28957,56.307,1233,,1171,1055,56.311,1536,,1299,1262
Diheptadecyl amine (?),56.949,709,,20,,56.710,97,,,,56.876,177,,,
"Benzo[g,h,i]perylene",57.294,384582,,57069,,57.442,34,,24,,,,,,
Pentatriacontane (n-C35),58.223,488,,,,58.215,318136,,120176,,58.205,75476,,230824,
Methyl diheptadecyl amine (?),58.568,3117,,172,,58.568,2455,,860,,58.581,4018,,57,
"2,2',3,4,4',5,6-Heptabromodiphenyl ether (BDE 181)",59.890,44133,,40056,17157,60.137,313,,,,60.191,259,,,
Hexatriacontane (n-C36),60.290,64522,,99686,,60.072,57020,,97882,,60.096,74575,,91637,
Dioctadecyl amine (?),60.598,25,,,,60.523,100,,14,,60.797,199,,12,
Methyl dioctadecyl amine (?),62.822,2190,,87,,62.851,12142,,148,,62.838,26846,,920,
Acenaphthene-D10,24.869,336134,,435073,,24.878,1523118,,1961996,,24.882,1790276,,2340846,
Phenanthrene-D10,32.220,623281,,67539,,32.212,3209467,,338609,,32.219,3976893,,427764,
Benz(a)anthracene-D12,45.233,691324,,166665,,45.242,3385355,,819458,,45.242,4410457,,1091816,
Perylene-D12,52.007,386629,,91378,,52.010,1672649,,380308,,52.013,2163808,,499472,
