Compound Method,Farm-Soil,,,Qualifier 1 Results,Qualifier 2 Results,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,Farm-Soil_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 66)",46.458,4,,19,3,46.433,267391,,113653,74085,46.444,12,,,
Cannabinol,46.567,339,,40,,46.565,2659,,331,,46.583,718,,92,
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 77)",47.492,13,,11,,47.463,242634,,42673,,47.529,9,,5,
Heptacosane (n-C27),47.455,1617,,,,47.256,4675,,7340,,47.258,49328,,73991,
Di-n-octyl phthalate,48.244,2437,,36,64,48.215,1917010,,22436,5625,48.227,192,,27,12
Octacosane (n-C28),48.783,438,,1599,,48.727,146889,,235774,,48.718,30890,,44292,
"2,2',4,4',6-Pentabromodiphenyl ether (BDE 100)",48.919,3,,10,8,48.822,171655,,126798,124041,48.776,2,,5,
Squalene,49.058,1584,,1197,,49.069,12015623,,2919880,8542804,48.972,43577,,12387,29178
"2,3',4,4',6-Pentabromodiphenyl ether (BDE 119)",49.105,8,,18,7,49.154,229722,,80729,78494,49.084,3,,,4
"2,2',4,4',5-Pentabromodiphenyl ether (BDE 99)",49.820,8,,9,,49.767,205307,,94117,91954,49.335,6,,6,14
Nonacosane (n-C29),50.139,1059,,,,50.147,7541,,8236,,50.138,88470,,133399,
Benzo(b)fluoranthene,50.383,44,,,,50.391,708841,,64624,,50.413,1812,,206,
Benzo(k)fluoranthenene,50.494,30,,18,,50.486,740632,,73605,,50.497,261,,,
Dinonyl phthalate,50.999,1784,,59,,50.998,1801768,,22071,,50.996,91,,31,
Benzo(e)pyrene,51.467,50,,111,,51.530,756301,,56991,,51.558,874,,56,
Triacontane (n-C30),52.440,1511,,76739,,51.509,143233,,235465,,51.494,34638,,63645,
"2,2',4,4',6,6'-Hexabromodiphenyl ether (BDE 155)",51.345,4,,4,,51.408,159421,,135563,99871,51.511,12,,,12
"2,2',3,4,4'-Pentabromodiphenyl ether (BDE 85)",51.691,10,,34,24,51.570,198258,,85451,82810,51.609,12,,,
Piperine,51.660,834,,,,52.001,4918,,66,,51.931,1737,,139,
Benzo[a]pyrene,51.776,22,,102,,51.780,646320,,62281,,51.812,587,,,
"2,2',4,4',5,6'-Hexabromodiphenyl ether (BDE 154)",51.979,6,,13,,51.960,203208,,98967,71977,51.823,4,,,9
Perylene,52.081,53,,93,,52.126,696238,,72484,,52.134,132,,46,
beta-Tocopherol,52.491,207,,91,,52.916,3313,,65,,53.317,365,,1067,
Hentriacontane (n-C31),52.440,286599,,465644,,52.838,4511,,9101,,52.829,232346,,367020,
Methyl Dipentadecyl amine (?),53.016,58,,50,,53.011,119,,54,,53.161,146,,11,
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE 153)",53.443,6,,11,17,53.339,204305,,69848,53708,53.378,6,,5,3
Dotriacontane (n-C32),54.171,196,,,,54.119,143644,,220662,,54.120,9520,,9611,
Dihexdecyl amine (?),54.297,79,,8,,54.115,604,,19,,54.320,80,,,
Vitamin E (or tocopherol isomer),54.246,105,,171,,54.285,711,,1407,,53.808,80602,,2619,
Cholesterol,54.277,16073,,31560,,54.319,62121,,85790,,54.544,4279,,1411,
Lathosterol,55.507,2925,,179,,55.142,5528,,5126,,55.052,815,,586,
"2,2',3,4,4',5-Hexabromodiphenyl ether (BDE 138)",55.219,11,,7,17,55.156,172000,,67500,52977,55.208,5,,12,6
Tritriacontane (n-C33),55.375,879,,67085,,55.278,2309,,8907,,55.367,168500,,254115,
Methyl dihexdecyl amine (?),55.724,33,,17,,55.542,1042,,108,,55.720,19,,14,
"Cholesta-3,5-dien-7-one",55.625,2357,,113,,55.640,5055,,1595,,55.642,643,,259,
"Indeno(1,2,3-cd)pyrene",56.388,110,,81,,56.196,681508,,148244,,56.262,912,,225,
Cholest-4-en-3-one,55.856,292,,37,,56.755,3615,,3615,,56.286,881,,1634,
Tetratriacontane (n-C34),57.232,3248,,8057,,56.749,129963,,200515,,57.119,46878,,69772,
beta-Sitosterol,56.991,89,,,,56.938,117,,269,,57.147,27149,,,
"2,2',3,4,4',5',6-Heptabromodiphenyl ether (BDE 183)",56.937,20,,30,20,56.932,106361,,101561,49192,56.947,5,,9,
Diheptadecyl amine (?),57.469,41,,8,,56.938,3665,,4,,56.953,7,,28,
"Benzo[g,h,i]perylene",57.354,48,,87,,57.294,526275,,99218,,57.326,662,,67,
Pentatriacontane (n-C35),58.275,5417,,1136,,58.382,825,,,,58.794,33966,,50058,
Methyl diheptadecyl amine (?),58.564,1628,,33,,58.565,5834,,215,,58.716,112,,19,
"2,2',3,4,4',5,6-Heptabromodiphenyl ether (BDE 181)",60.031,27,,,5,59.897,64710,,61330,26574,60.081,6,,18,14
Hexatriacontane (n-C36),60.278,212835,,201180,,60.287,105800,,181033,,60.003,16519,,10645,
Dioctadecyl amine (?),60.312,7733,,31,,60.578,104,,34,,60.654,10,,6,
Methyl dioctadecyl amine (?),62.884,988,,6,,62.811,26492,,254,,62.826,5831,,33,
Acenaphthene-D10,24.878,14,,50,,24.866,496990,,648354,,24.881,125271,,165582,
Phenanthrene-D10,32.235,34,,,,32.216,1145220,,120326,,32.224,238532,,31817,
Benz(a)anthracene-D12,45.255,71,,41,,45.233,1300934,,307104,,45.241,293032,,70216,
Perylene-D12,52.003,58,,11,,52.004,731568,,167324,,52.012,136321,,32754,
