Compound Method,LM-Shop,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
"2,3',4',6-Tetrabromodiphenyl ether (BDE 71)",45.756,56305,,14038,14746,45.207,327,,315,276,45.528,235,,178,128
"2,3',4,5-Tetrabromodiphenyl ether (BDE 49)",45.756,56240,,14038,14746,45.207,325,,312,277,45.528,230,,180,128
Dicyclohexyl phthalate,45.230,156439102,,20863415,37849,45.187,36418133,,3925981,6279,45.172,16402234,,1520238,2856
Bis(2-Ethylhexyl)phthalate (DEHP),45.230,156439102,,20892801,1731247,45.187,36418133,,3925873,333835,45.172,16402234,,1520082,120901
Bis(2-ethylhexyl)phthalate (DEHP-D4),45.746,3677312,,3846595,,45.563,2132,,4878,,44.491,6243,,2561,
Benz[a]anthracene,45.746,2659994,,484508,,45.268,7608,,10002,,45.264,7384,,10285,
Chrysene,45.746,2659994,,484508,,45.563,31158,,2884,,45.572,18836,,3576,
Dronabinol,45.702,247072946,,226704547,,45.576,393712,,310192,,45.569,2486246,,1967441,
Hexacosane (n-C26),45.790,691141,,885367,,45.766,726056,,1218274,,45.769,745941,,1541899,
"2,2',4,4'-Tetrabromodiphenyl ether (BDE 47)",45.837,4115,,2214,1614,45.824,2370,,1542,1066,45.823,1705,,1985,1146
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 66)",46.644,4010,,1872,1482,46.478,141,,87,,46.081,91,,227,
Cannabinol,46.640,140331530,,22838174,,46.590,32388012,,4462220,,46.596,11365073,,1416037,
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 77)",47.233,136,,2410,,47.339,13,,,,47.582,168,,37,
Heptacosane (n-C27),47.298,1237650,,1993427,,47.281,842592,,1340480,,47.284,1350192,,1583220,
Di-n-octyl phthalate,48.287,90650019,,36603,612995,48.250,1773727,,8710,,48.155,34658535,,,1942748
Octacosane (n-C28),48.758,1399917,,2597580,,48.745,770591,,1196127,,48.863,1431834,,4295182,
"2,2',4,4',6-Pentabromodiphenyl ether (BDE 100)",48.857,278,,258,218,48.813,59,,,35,48.853,412,,88,677
Squalene,49.013,529377,,196996,251180,49.009,551498,,158740,330383,49.032,5539780,,1614231,1733792
"2,3',4,4',6-Pentabromodiphenyl ether (BDE 119)",48.857,259,,256,217,48.813,60,,,32,48.978,520,,265,599
"2,2',4,4',5-Pentabromodiphenyl ether (BDE 99)",49.795,2213,,999,824,49.796,702,,184,425,49.839,305,,224,671
Nonacosane (n-C29),50.178,3498484,,5755252,,50.158,1863878,,2963640,,50.174,876792,,1548710,
Benzo(b)fluoranthene,50.419,49279,,6126,,50.406,26256,,8173,,50.452,3305,,3313,
Benzo(k)fluoranthenene,50.521,7158,,15660,,50.406,26286,,8065,,50.452,3507,,1647,
Dinonyl phthalate,51.029,54448823,,866831,,51.019,2856263,,8999,,51.029,4385159,,,
Benzo(e)pyrene,51.561,41678,,4183,,51.554,13271,,2273,,51.594,2070,,,
Triacontane (n-C30),51.547,1316933,,1470858,,51.527,885783,,1278708,,51.533,614885,,1098410,
"2,2',4,4',6,6'-Hexabromodiphenyl ether (BDE 155)",51.032,457,,465,474,51.449,7,,12,,51.415,118,,,11
"2,2',3,4,4'-Pentabromodiphenyl ether (BDE 85)",51.575,56,,16,,51.561,17,,,14,51.151,351,,38,34
Piperine,51.751,3237,,,,51.761,197104,,42418,,51.784,27962,,,
Benzo[a]pyrene,51.815,14530,,1148,,52.012,3578,,6507,,51.594,2167,,,
"2,2',4,4',5,6'-Hexabromodiphenyl ether (BDE 154)",51.978,110,,59,,51.951,4,,,27,51.981,24,,24,27
Perylene,52.147,2878,,,,52.012,3671,,6604,,52.052,5126,,7358,
beta-Tocopherol,52.842,20362,,3712,,52.890,42065,,6313,,52.855,18900,,606,
Hentriacontane (n-C31),52.872,2209550,,3205828,,52.852,1303631,,2154800,,52.859,875873,,1356782,
Methyl Dipentadecyl amine (?),53.039,586422,,35660,,53.022,128259,,9377,,53.035,72924,,8908,
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE 153)",53.364,353,,213,204,53.340,66,,19,,53.465,48,,,
Dotriacontane (n-C32),54.157,671180,,972071,,54.137,515811,,909440,,54.143,628405,,948056,
Dihexdecyl amine (?),54.303,72983,,6537,,54.296,28211,,2989,,54.295,58627,,9339,
Vitamin E (or tocopherol isomer),54.296,38866,,6808,,54.293,130846,,39297,,54.289,309883,,403779,
Cholesterol,54.360,185226,,330534,,54.323,448105,,693361,,54.326,5130433,,7691518,
Lathosterol,55.255,9060,,11843,,55.201,25054,,,,55.180,380919,,282809,
"2,2',3,4,4',5-Hexabromodiphenyl ether (BDE 138)",55.031,17,,32,28,55.160,19,,29,,54.333,1295,,1310,1280
Tritriacontane (n-C33),55.404,1133402,,1366268,,55.398,614261,,1106256,,55.397,736120,,1135947,
Methyl dihexdecyl amine (?),55.573,1382180,,267392,,55.564,316047,,71677,,55.566,84665,,19876,
"Cholesta-3,5-dien-7-one",55.672,103697,,37307,,55.658,1276434,,480084,,55.661,307785,,128299,
"Indeno(1,2,3-cd)pyrene",56.228,32686,,3547,,56.221,6595,,615,,56.298,3208,,1693,
Cholest-4-en-3-one,56.112,20865,,17348,,56.313,9050,,26425,,56.319,37129,,43342,
Tetratriacontane (n-C34),56.790,476391,,1006164,,56.773,418645,,657129,,56.790,636326,,972367,
beta-Sitosterol,57.037,88836,,100003,,56.980,73050,,98053,,56.962,154117,,182173,
"2,2',3,4,4',5',6-Heptabromodiphenyl ether (BDE 183)",56.319,1022,,851,1084,56.960,66,,51,36,56.471,92,,54,
Diheptadecyl amine (?),56.970,275520,,30525,,56.953,85788,,9174,,56.952,13662,,3453,
"Benzo[g,h,i]perylene",57.315,63181,,10197,,57.285,1898,,1593,,57.308,14514,,555,
Pentatriacontane (n-C35),58.424,335027,,607880,,58.407,280164,,451193,,58.403,530848,,1451742,
Methyl diheptadecyl amine (?),58.613,13443673,,960975,,58.593,4236117,,279215,,58.593,751416,,48393,
"2,2',3,4,4',5,6-Heptabromodiphenyl ether (BDE 181)",59.823,172,,,,60.301,225,,,190,60.196,314,,,
Hexatriacontane (n-C36),60.348,263224,,446513,,60.318,284178,,413125,,60.334,552879,,863769,
Dioctadecyl amine (?),60.545,646236,,47993,,60.532,194229,,14652,,60.538,28403,,2738,
Methyl dioctadecyl amine (?),62.884,28643581,,981023,,62.853,11409749,,153629,,62.852,3471909,,107184,
Acenaphthene-D10,24.877,1599929,,2107846,,24.880,1183833,,1541171,,24.880,1426051,,1856410,
Phenanthrene-D10,32.216,3777922,,397805,,32.214,2775713,,294898,,32.217,3285041,,348959,
Benz(a)anthracene-D12,45.251,4144277,,1010449,,45.254,3024235,,723742,,45.250,3542092,,855456,
Perylene-D12,52.035,1947273,,457411,,52.019,1442751,,331990,,52.052,1694480,,392581,
