Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,LM-Shop,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen-Dup,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom,,,Qualifier 1 Results,Qualifier 2 Results,LM-Shop_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen-Dup_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Fluorene,27.675,361627,,386772,,27.683,30000,,30513,,27.680,4204,,5348,,27.681,6662,,7935,,27.686,6055,,6993,,27.683,5593,,5901,,27.676,2253,,2640,,27.710,169,,,,27.684,892,,898,,27.668,550,,175,
Benzophenone,28.509,676,,214,,28.503,68960,,22469,,28.503,144220,,67164,,28.505,164117,,78683,,28.499,54213,,31296,,28.506,53315,,30259,,28.496,2887,,1731,,28.500,12370,,6648,,28.501,15332,,7798,,28.515,5153,,2574,
C4-Naphthalenes,31.637,22479,,3600,,29.025,9828,,16579,,29.049,2731,,6349,,29.040,2789,,8763,,29.048,3792,,20140,,29.045,3768,,20878,,29.038,600,,,,29.042,142,,,,29.043,241,,,,29.037,82,,1572,
Heptadecane (n-C17),29.041,3954,,4981,,29.045,249538,,441440,,29.049,73824,,92706,,29.047,103051,,291823,,29.041,154559,,523025,,29.041,243875,,461935,,29.038,9446,,22555,,29.045,9751,,20597,,29.043,16201,,20767,,29.040,16220,,33428,
4-Bromodiphenyl ether (BDE 3),29.912,112065,,117788,,29.923,1118,,85,,30.015,39,,,,29.908,240,,25,,29.824,26,,,,29.909,408,,17,,29.831,10,,,,29.879,40,,,,29.873,10,,8,,29.843,15,,,
Diacetamate,30.203,1350,,66,,30.197,10273,,427,,30.204,11853,,299,,30.213,11967,,2774,,30.200,6349,,465,,30.211,6194,,169,,29.892,160,,74,,30.679,10886,,676,,30.459,750,,109,,30.219,547,,24,
Tetradecanoic acid,30.640,17737,,14744,11046,30.787,5673024,,3627637,2947959,30.882,15082066,,9868986,8074488,30.891,15876586,,7885355,8442145,30.770,4897863,,3179672,2521114,30.770,4891780,,3127141,2479900,30.648,146476,,69245,78306,30.676,824374,,372963,412282,30.683,919614,,450158,478378,30.653,177199,,84723,88822
Octadecane (n-C18),31.230,49558,,94942,,31.305,75721,,,,31.245,517582,,983225,,31.243,627026,,1138508,,31.244,946185,,1709006,,31.244,938097,,1671413,,31.234,53029,,99488,,31.238,43481,,82436,,31.239,57577,,99216,,31.236,85305,,138414,
Tri(2-chloroethyl) phosphate (TCEP),31.579,1087,,1384,,31.607,18152,,23922,,31.611,17669,,22641,,31.619,18845,,23801,,31.596,7963,,10405,,31.603,8109,,10791,,31.576,1233,,1571,,31.591,1728,,2033,,31.585,1582,,2321,,31.602,743,,1136,
"2-Propanol, 1-chloro-, phosphate (3:1)",32.033,2861,,24,,32.065,3961832,,152476,,32.065,398416,,15951,,32.073,427292,,17407,,32.054,73054,,3192,,32.051,72674,,3042,,32.034,261405,,10316,,32.041,33016,,1405,,32.035,38592,,1736,,32.032,7462,,175,
Phenanthrene,32.335,285574,,38174,,32.336,445923,,57152,,32.339,56988,,4120,,32.341,66583,,10430,,32.342,45424,,6959,,32.335,45652,,6975,,32.336,26301,,4119,,32.339,5620,,862,,32.334,6782,,696,,32.337,5517,,857,
