Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,NAT,,,Qualifier 1 Results,Qualifier 2 Results,NAT_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
"Cholesta-3,5-dien-7-one",55.644,738,,232,,55.660,252337,,98851,,55.636,24290,,7713,
"Indeno(1,2,3-cd)pyrene",56.207,478847,,97217,,56.223,144170,,22699,,56.219,11903,,1886,
Cholest-4-en-3-one,56.312,111,,1122,,56.304,41261,,,,56.175,5559,,10807,
Tetratriacontane (n-C34),56.756,74114,,122124,,56.799,1733135,,2461118,,56.751,175847,,281211,
beta-Sitosterol,56.949,21,,,,56.955,166810,,226985,,57.158,1562,,15167,
"2,2',3,4,4',5',6-Heptabromodiphenyl ether (BDE 183)",56.939,65724,,62493,30760,56.470,385,,592,571,57.036,7,,26,
Diheptadecyl amine (?),56.942,1731,,4,,56.951,67222,,9986,,56.914,4763,,427,
"Benzo[g,h,i]perylene",57.288,420617,,68710,,57.321,161179,,27528,,57.310,11987,,1778,
Pentatriacontane (n-C35),58.528,191,,,,58.419,1392690,,1972389,,58.364,144572,,216965,
Methyl diheptadecyl amine (?),58.572,4396,,293,,58.607,8493417,,567380,,58.554,505021,,33194,
"2,2',3,4,4',5,6-Heptabromodiphenyl ether (BDE 181)",59.894,45608,,44400,10253,59.893,209,,119,463,59.916,12,,13,
Hexatriacontane (n-C36),60.284,53165,,87251,,60.350,1089710,,1355323,,60.303,102975,,167743,
Dioctadecyl amine (?),60.582,8,,10,,60.550,340558,,26553,,60.503,21814,,1522,
Methyl dioctadecyl amine (?),62.835,7158,,66,,62.906,109204508,,4642693,,62.821,8147497,,260433,
Acenaphthene-D10,24.866,360115,,468286,,24.875,1732784,,2245764,,24.875,134228,,176577,
Phenanthrene-D10,32.217,671474,,82188,,32.216,3543719,,430030,,32.222,319020,,36799,
Benz(a)anthracene-D12,45.233,747008,,176634,,45.246,4483238,,1097652,,45.236,386006,,82591,
Perylene-D12,52.008,421024,,100887,,52.020,1979979,,513426,,52.017,161876,,40246,
