Compound Method,YF2,,,Qualifier 1 Results,Qualifier 2 Results,YF2,,,Qualifier 1 Results,Qualifier 2 Results,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,YF2_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
"Phenol, 4,4'-(1-methylethylidene)bis-",39.694,1429213,,233130,76726,39.695,1402688,,233090,75046,39.668,17619,,4284,1229,39.704,67138,,12979,4089
"p,p'-DDE",40.203,3493,,9,,40.204,3467,,5,,39.878,331129,,173832,,40.165,16,,7,
d14-Terphenyl (IS),40.199,3066226,,199707,,40.200,3113137,,200277,,40.190,1839840,,120505,,40.189,209024,,17189,
"2,2',4-Tribromodiphenyl ether (BDE 17)",40.606,106,,,,40.604,142,,,40,40.590,209647,,212728,110498,40.422,12,,,3
Tricosane (n-C23),40.867,423780,,1001108,1534153,40.865,401352,,833267,1542161,40.844,3050,,3953,6999,40.934,16506,,29128,49183
C3-Phenanthrenes,41.389,5075,,,,40.963,1139,,,,40.177,750,,,,41.361,93,,,
"2,4,4'-Tribromodiphenyl ether (BDE 28)",41.501,664,,845,,41.488,813,,789,,41.481,191592,,192711,,41.490,32,,31,
DDD,42.629,2013,,3017,,41.854,417,,275,,41.885,608988,,377311,,41.900,10,,14,
Dihexyl phthalate (DHP),42.487,1475589,,4633,,42.485,1475258,,3752,,42.115,1493147,,15410,,42.473,118636,,83,
Benzyl butyl phthalate (BBP),42.487,1462710,,1266142,55698,42.485,1462455,,1273569,54765,42.474,615989,,199935,24486,42.473,112404,,190976,5581
Tetracosane (n-C24),42.588,1061918,,2006102,,42.583,919249,,1826983,,42.545,110669,,182168,,42.547,78812,,185952,
Bis(2-ethylhexyl) adipate,42.782,1501188,,1638484,,42.786,1495645,,1648489,,42.634,171,,799,,42.757,119571,,110398,
"p,p'-DDT",42.629,1914,,2882,,42.627,1737,,2279,,43.000,108829,,70249,,42.998,32,,14,
Triphenyl phosphate,43.324,4429,,,,43.328,4458,,,,43.308,725,,230,,43.317,95,,,
Pentacosane (n-C25),44.191,1020645,,1789905,,44.196,995468,,1795676,,44.172,6629,,,,44.171,73410,,135501,
bis(2-n-Butoxyethyl)phthalate,45.194,98122949,,4930,,45.192,98881884,,4717,,44.308,211120,,50394,,45.150,12742090,,435,
"2,3',4',6-Tetrabromodiphenyl ether (BDE 71)",45.818,51804,,35624,23192,45.819,48745,,35932,22842,45.019,236431,,95181,58811,45.797,4026,,2982,2309
"2,3',4,5-Tetrabromodiphenyl ether (BDE 49)",45.818,51801,,35614,23191,45.819,48747,,35954,22842,45.084,266502,,95291,65366,45.797,4020,,2978,2308
Dicyclohexyl phthalate,45.194,98234991,,15450237,22209,45.192,99020753,,15377216,21243,45.148,2940311,,242005,4492,45.150,12746602,,1260356,2137
Bis(2-Ethylhexyl)phthalate (DEHP),45.194,98232346,,15450237,1269472,45.192,99020753,,15377216,1256221,45.148,2940311,,241989,12607,45.150,12746602,,1260356,104941
Bis(2-ethylhexyl)phthalate (DEHP-D4),45.188,8490,,26140,,45.202,9256,,25831,,45.121,574877,,6442506,,45.147,558,,1493,
Benz[a]anthracene,45.361,24635,,1917,,45.358,25321,,1478,,45.348,545962,,35008,,45.350,645,,66,
Chrysene,45.560,25965,,1436,,45.558,23988,,661,,45.538,500749,,27131,,45.550,1618,,,
Dronabinol,45.571,15919,,14848,,45.575,15782,,13740,,45.555,1128,,1158,,45.543,854,,1020,
Hexacosane (n-C26),45.767,1255062,,2103020,,45.765,1260291,,2093338,,45.863,8180,,38729,,45.743,101996,,157750,
"2,2',4,4'-Tetrabromodiphenyl ether (BDE 47)",45.818,48051,,35287,23161,45.819,45259,,35594,22813,45.802,195787,,150036,97941,45.797,4002,,2969,2294
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 66)",45.818,51683,,35568,23121,45.819,48686,,35890,22808,46.432,228100,,97696,64529,45.797,4001,,2948,2287
Cannabinol,46.577,97077,,13216,,46.575,96097,,12468,,46.568,3095,,259,,46.570,7196,,1147,
