Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,Lucia,,,Qualifier 1 Results,Qualifier 2 Results,Lucia_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Methyl Dipentadecyl amine (?),53.004,141,,,,53.024,31631,,1076,,52.988,1719,,37,
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE 153)",53.333,103820,,35313,27108,53.360,323,,138,85,53.331,7,,2,3
Dotriacontane (n-C32),54.119,72537,,110914,,54.139,1089965,,1735840,,54.120,80788,,127107,
Dihexdecyl amine (?),54.241,51,,,,54.305,12474,,3391,,54.269,249,,8,
Vitamin E (or tocopherol isomer),54.292,339,,91,,54.288,2576796,,685671,,54.273,178086,,31663,
Cholesterol,54.363,20,,74,,54.332,7267687,,11118766,,54.402,403499,,761769,
Lathosterol,55.078,56,,20,,55.179,534043,,,,54.405,382825,,454354,
"2,2',3,4,4',5-Hexabromodiphenyl ether (BDE 138)",55.160,86088,,34909,25692,54.329,2002,,1671,2010,55.161,6,,,6
Tritriacontane (n-C33),54.953,160,,117,,55.400,838592,,1377452,,55.364,73984,,86954,
Methyl dihexdecyl amine (?),55.590,25,,14,,55.562,68431,,15412,,55.523,4258,,810,
"Cholesta-3,5-dien-7-one",55.705,51,,12,,55.657,1065577,,424165,,55.635,79861,,25577,
"Indeno(1,2,3-cd)pyrene",56.203,392673,,71791,,56.216,25022,,3935,,56.238,1041,,86,
Cholest-4-en-3-one,56.210,164,,85,,56.301,96682,,159254,,56.279,8380,,15870,
Tetratriacontane (n-C34),56.759,64662,,99578,,56.789,580550,,733454,,56.757,35661,,58540,
beta-Sitosterol,56.946,23,,,,56.952,261296,,354675,,56.903,226,,,
"2,2',3,4,4',5',6-Heptabromodiphenyl ether (BDE 183)",56.932,54984,,51519,25233,56.969,145,,,,56.943,6,,18,
Diheptadecyl amine (?),56.925,1588,,11,,56.952,16322,,1916,,56.920,986,,94,
"Benzo[g,h,i]perylene",57.295,329361,,39604,,57.328,25949,,4667,,57.330,1633,,92,
Pentatriacontane (n-C35),58.349,196,,396,,58.402,351515,,540072,,58.377,26823,,33989,
Methyl diheptadecyl amine (?),58.566,3407,,80,,58.599,821645,,52773,,58.567,45380,,3202,
"2,2',3,4,4',5,6-Heptabromodiphenyl ether (BDE 181)",59.891,37233,,36137,15001,59.931,1093,,1168,1214,59.909,9,,24,
Hexatriacontane (n-C36),60.301,51633,,84166,,60.327,237612,,409040,,60.281,15929,,26806,
Dioctadecyl amine (?),60.582,15,,7,,60.544,19236,,3145,,60.512,1210,,33,
Methyl dioctadecyl amine (?),62.988,141,,15,,62.862,3698574,,112757,,62.820,94156,,,
Acenaphthene-D10,24.873,263673,,351655,,24.883,1692832,,2211216,,24.881,106082,,140032,
Phenanthrene-D10,32.217,562481,,62177,,32.220,3519997,,428370,,32.225,216778,,27542,
Benz(a)anthracene-D12,45.230,608192,,144875,,45.251,3911138,,1051847,,45.238,254856,,61994,
Perylene-D12,52.005,349650,,84535,,52.021,1884298,,441025,,52.019,122577,,31908,
