Compound Method,XL,,,Qualifier 1 Results,Qualifier 2 Results,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,XL_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Vitamin E (or tocopherol isomer),54.295,1437526,,734250,,54.285,711,,1407,,54.257,102004,,1992,
Cholesterol,54.335,8485844,,12450086,,54.319,62121,,85790,,54.416,544701,,904673,
Lathosterol,55.176,569733,,485214,,55.142,5528,,5126,,55.413,35339,,27049,
"2,2',3,4,4',5-Hexabromodiphenyl ether (BDE 138)",55.179,212,,,,55.156,172000,,67500,52977,55.128,19,,24,21
Tritriacontane (n-C33),55.393,722165,,1126056,,55.278,2309,,8907,,55.375,60305,,88089,
Methyl dihexdecyl amine (?),55.565,204430,,43946,,55.542,1042,,108,,55.521,10958,,2665,
"Cholesta-3,5-dien-7-one",55.664,2052338,,828407,,55.640,5055,,1595,,55.633,140150,,42591,
"Indeno(1,2,3-cd)pyrene",56.213,1770788,,246938,,56.196,681508,,148244,,56.192,101745,,19280,
Cholest-4-en-3-one,56.297,91006,,235282,,56.755,3615,,3615,,56.341,564,,,
Tetratriacontane (n-C34),56.789,453301,,560140,,56.749,129963,,200515,,56.751,29989,,45201,
beta-Sitosterol,56.958,266322,,329302,,56.938,117,,269,,57.236,11509,,5656,
"2,2',3,4,4',5',6-Heptabromodiphenyl ether (BDE 183)",56.962,331,,281,133,56.932,106361,,101561,49192,56.934,78,,,9
Diheptadecyl amine (?),56.965,44600,,6174,,56.938,3665,,4,,56.931,2743,,211,
"Benzo[g,h,i]perylene",57.307,1473218,,213619,,57.294,526275,,99218,,57.287,93927,,16273,
Pentatriacontane (n-C35),58.405,383407,,413655,,58.382,825,,,,58.371,20412,,36294,
Methyl diheptadecyl amine (?),58.595,2402247,,151209,,58.565,5834,,215,,58.558,111285,,8629,
"2,2',3,4,4',5,6-Heptabromodiphenyl ether (BDE 181)",59.544,1940,,2382,3051,59.897,64710,,61330,26574,59.971,22,,,
Hexatriacontane (n-C36),60.313,220246,,369811,,60.287,105800,,181033,,60.262,7070,,20993,
Dioctadecyl amine (?),60.537,108951,,8644,,60.578,104,,34,,60.483,6216,,174,
Methyl dioctadecyl amine (?),62.858,8415238,,250999,,62.811,26492,,254,,62.801,355094,,13751,
Acenaphthene-D10,24.879,1761421,,2281780,,24.866,496990,,648354,,24.879,122201,,158260,
Phenanthrene-D10,32.220,3626063,,385906,,32.216,1145220,,120326,,32.216,232074,,30364,
Benz(a)anthracene-D12,45.253,4173752,,1023419,,45.233,1300934,,307104,,45.232,287935,,69769,
Perylene-D12,52.031,2035849,,477262,,52.004,731568,,167324,,52.010,138121,,36623,
