Compound Method,CY,,,Qualifier 1 Results,Qualifier 2 Results,CY,,,Qualifier 1 Results,Qualifier 2 Results,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
"2,2',4,4'-Tetrabromodiphenyl ether (BDE 47)",45.812,618,,380,122,45.809,560,,447,322,45.806,224897,,177527,112107
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 66)",45.812,606,,377,124,45.809,554,,423,320,46.433,267391,,113653,74085
Cannabinol,46.567,8045,,907,,46.565,8111,,750,,46.565,2659,,331,
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 77)",47.554,4,,10,,47.473,6,,19,,47.463,242634,,42673,
Heptacosane (n-C27),47.269,513787,,857149,,47.270,546803,,901946,,47.256,4675,,7340,
Di-n-octyl phthalate,48.218,2278048,,,,48.219,1945470,,,,48.215,1917010,,22436,5625
Octacosane (n-C28),48.740,598781,,958593,,48.734,672576,,948754,,48.727,146889,,235774,
"2,2',4,4',6-Pentabromodiphenyl ether (BDE 100)",48.811,55,,,,49.015,855,,1102,878,48.822,171655,,126798,124041
Squalene,49.011,16105596,,5504012,6506165,49.012,16682086,,5756177,6774361,49.069,12015623,,2919880,8542804
"2,3',4,4',6-Pentabromodiphenyl ether (BDE 119)",49.014,799,,916,887,49.015,857,,1086,827,49.154,229722,,80729,78494
"2,2',4,4',5-Pentabromodiphenyl ether (BDE 99)",49.767,464,,282,120,49.778,502,,,67,49.767,205307,,94117,91954
Nonacosane (n-C29),50.143,808136,,1310950,,50.144,843062,,1369320,,50.147,7541,,8236,
Benzo(b)fluoranthene,50.393,13295,,1161,,50.415,14140,,1384,,50.391,708841,,64624,
Benzo(k)fluoranthenene,50.393,13263,,1165,,50.493,3827,,108,,50.486,740632,,73605,
Dinonyl phthalate,51.007,1713067,,8844,,51.005,1787747,,8477,,50.998,1801768,,22071,
Benzo(e)pyrene,51.539,12665,,722,,51.537,13910,,886,,51.530,756301,,56991,
Triacontane (n-C30),51.515,482347,,761965,,51.510,490132,,788603,,51.509,143233,,235465,
"2,2',4,4',6,6'-Hexabromodiphenyl ether (BDE 155)",51.492,6,,21,,51.178,10,,13,,51.408,159421,,135563,99871
"2,2',3,4,4'-Pentabromodiphenyl ether (BDE 85)",51.569,10,,,9,51.571,23,,,,51.570,198258,,85451,82810
Piperine,51.749,18673,,8787,,51.757,18636,,6432,,52.001,4918,,66,
Benzo[a]pyrene,51.793,7860,,499,,51.784,8309,,336,,51.780,646320,,62281,
"2,2',4,4',5,6'-Hexabromodiphenyl ether (BDE 154)",51.986,20,,17,,51.957,18,,7,,51.960,203208,,98967,71977
Perylene,51.793,7665,,495,,52.137,3616,,70,,52.126,696238,,72484,
beta-Tocopherol,52.847,6366,,2914,,52.852,7142,,2491,,52.916,3313,,65,
Hentriacontane (n-C31),52.840,722786,,1160466,,52.838,759985,,1189304,,52.838,4511,,9101,
Methyl Dipentadecyl amine (?),53.020,23885,,17415,,53.018,25919,,19576,,53.011,119,,54,
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE 153)",53.352,53,,37,34,53.357,55,,,48,53.339,204305,,69848,53708
Dotriacontane (n-C32),54.121,392635,,610735,,54.126,398294,,648075,,54.119,143644,,220662,
Dihexdecyl amine (?),54.281,4721,,1267,,54.285,4930,,1480,,54.115,604,,19,
Vitamin E (or tocopherol isomer),54.277,66762,,215401,,54.268,69590,,237525,,54.285,711,,1407,
Cholesterol,54.294,2674531,,3870525,,54.295,2672586,,4140974,,54.319,62121,,85790,
Lathosterol,55.192,209484,,172074,,55.180,222186,,176194,,55.142,5528,,5126,
"2,2',3,4,4',5-Hexabromodiphenyl ether (BDE 138)",55.206,36,,41,,54.299,648,,,140,55.156,172000,,67500,52977
Tritriacontane (n-C33),55.375,405809,,643396,,55.380,428775,,680926,,55.278,2309,,8907,
Methyl dihexdecyl amine (?),55.545,289252,,36010,,55.546,302376,,39106,,55.542,1042,,108,
"Cholesta-3,5-dien-7-one",55.640,149009,,57581,,55.641,146674,,59866,,55.640,5055,,1595,
"Indeno(1,2,3-cd)pyrene",56.199,6778,,40171,,56.207,6689,,,,56.196,681508,,148244,
Cholest-4-en-3-one,56.290,30735,,39091,,56.274,24291,,42977,,56.755,3615,,3615,
Tetratriacontane (n-C34),56.758,285731,,435794,,56.762,302223,,442266,,56.749,129963,,200515,
beta-Sitosterol,56.965,54184,,66718,,56.959,60047,,78511,,56.938,117,,269,
"2,2',3,4,4',5',6-Heptabromodiphenyl ether (BDE 183)",56.975,27,,23,,56.932,8,,34,22,56.932,106361,,101561,49192
Diheptadecyl amine (?),56.931,21425,,1952,,56.932,21593,,3954,,56.938,3665,,4,
"Benzo[g,h,i]perylene",57.290,12300,,2045,,57.311,12586,,2664,,57.294,526275,,99218,
Pentatriacontane (n-C35),58.385,217612,,347342,,58.382,224304,,373520,,58.382,825,,,
Methyl diheptadecyl amine (?),58.571,8263029,,547722,,58.576,8598047,,568652,,58.565,5834,,215,
"2,2',3,4,4',5,6-Heptabromodiphenyl ether (BDE 181)",59.947,18,,10,36,59.921,42,,44,5,59.897,64710,,61330,26574
Hexatriacontane (n-C36),60.306,192964,,301994,,60.301,198360,,312819,,60.287,105800,,181033,
Dioctadecyl amine (?),60.506,250987,,18572,,60.507,260946,,19488,,60.578,104,,34,
Methyl dioctadecyl amine (?),62.861,128103818,,5821859,,62.873,131438927,,6013339,,62.811,26492,,254,
Acenaphthene-D10,24.885,133,,236,,24.798,69,,165,,24.866,496990,,648354,
Phenanthrene-D10,32.547,2035,,64,,32.566,1989,,47,,32.216,1145220,,120326,
Benz(a)anthracene-D12,45.185,765,,1508,,45.189,1259,,1558,,45.233,1300934,,307104,
Perylene-D12,52.291,1886,,64,,52.303,2143,,563,,52.004,731568,,167324,
