Compound Method,3090,,,Qualifier 1 Results,Qualifier 2 Results,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,3090_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Bis(2-ethylhexyl) adipate,42.800,2527685,,2800492,,42.634,171,,799,,42.761,218071,,234911,
"p,p'-DDT",43.017,7113,,4647,,43.000,108829,,70249,,42.988,431,,358,
Triphenyl phosphate,43.346,15026,,5586,,43.308,725,,230,,43.462,102,,,
Pentacosane (n-C25),44.200,2898357,,4854179,,44.172,6629,,,,44.177,265904,,435813,
bis(2-n-Butoxyethyl)phthalate,45.209,129032313,,6271,,44.308,211120,,50394,,45.153,21374571,,2149,
"2,3',4',6-Tetrabromodiphenyl ether (BDE 71)",45.206,1745,,1951,1683,45.019,236431,,95181,58811,45.150,131,,,148
"2,3',4,5-Tetrabromodiphenyl ether (BDE 49)",45.206,1734,,1955,1679,45.084,266502,,95291,65366,45.150,131,,160,146
Dicyclohexyl phthalate,45.209,129032313,,23801779,36826,45.148,2940311,,242005,4492,45.153,21420940,,2200001,3363
Bis(2-Ethylhexyl)phthalate (DEHP),45.209,129032313,,23801779,1989518,45.148,2940311,,241989,12607,45.153,21420940,,2200001,182712
Bis(2-ethylhexyl)phthalate (DEHP-D4),45.209,14135,,44463,,45.121,574877,,6442506,,45.147,1062,,2665,
Benz[a]anthracene,45.369,97195,,6531,,45.348,545962,,35008,,45.357,7410,,383,
Chrysene,45.565,129518,,11575,,45.538,500749,,27131,,45.543,10228,,712,
Dronabinol,45.582,4993370,,4324733,,45.555,1128,,1158,,45.547,358023,,274769,
Hexacosane (n-C26),45.772,3006818,,5294405,,45.863,8180,,38729,,45.750,300305,,484701,
"2,2',4,4'-Tetrabromodiphenyl ether (BDE 47)",45.823,12456,,9502,6357,45.802,195787,,150036,97941,45.791,1188,,1089,588
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 66)",45.823,12429,,9580,6345,46.432,228100,,97696,64529,45.791,1190,,1090,588
Cannabinol,46.582,11029353,,1358937,,46.568,3095,,259,,46.563,759170,,93518,
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 77)",47.294,194,,188,,47.463,208452,,37142,,47.339,3,,,
Heptacosane (n-C27),47.287,3721771,,6187034,,47.263,3912,,6416,,47.261,346289,,550425,
Di-n-octyl phthalate,48.243,3455345,,,,48.215,1643264,,19841,5157,48.224,238828,,,
Octacosane (n-C28),48.754,3570556,,5895166,,48.730,126202,,197824,,48.722,331936,,540499,
"2,2',4,4',6-Pentabromodiphenyl ether (BDE 100)",48.822,1966,,1399,986,48.822,143469,,106283,103465,48.800,112,,113,95
Squalene,49.008,16411841,,4792083,4938538,49.066,10517794,,2528153,7439386,48.980,1586595,,476500,572270
"2,3',4,4',6-Pentabromodiphenyl ether (BDE 119)",48.822,1987,,828,1064,49.157,193914,,70625,67869,48.959,59,,51,59
"2,2',4,4',5-Pentabromodiphenyl ether (BDE 99)",49.778,12327,,5285,5515,49.767,177504,,80877,79201,49.759,1121,,457,478
Nonacosane (n-C29),50.167,4561823,,7200913,,50.143,5892,,9103,,50.139,405234,,659780,
Benzo(b)fluoranthene,50.401,176900,,14661,,50.387,630065,,55802,,50.396,14222,,1228,
Benzo(k)fluoranthenene,50.496,63777,,6621,,50.482,639344,,66507,,50.498,5186,,475,
Dinonyl phthalate,51.025,4131940,,19350,,50.994,1587346,,19068,,50.999,356931,,1814,
Benzo(e)pyrene,51.543,80237,,6783,,51.526,658601,,52999,,51.531,6814,,399,
Triacontane (n-C30),51.537,2722758,,4520329,,51.506,127683,,199178,,51.504,253183,,423001,
"2,2',4,4',6,6'-Hexabromodiphenyl ether (BDE 155)",51.530,163,,155,198,51.407,139688,,116945,89726,51.308,6,,,6
"2,2',3,4,4'-Pentabromodiphenyl ether (BDE 85)",51.577,450,,187,331,51.563,175947,,74782,73171,51.548,38,,17,5
Piperine,51.764,1113195,,97272,,52.007,4532,,327,,51.742,122082,,3880,
Benzo[a]pyrene,51.794,98869,,15078,,51.780,564545,,55982,,51.789,8260,,1173,
"2,2',4,4',5,6'-Hexabromodiphenyl ether (BDE 154)",51.967,887,,362,176,51.953,179647,,88348,64964,51.945,39,,10,
Perylene,52.143,24072,,3089,,52.129,618279,,63664,,52.141,2189,,62,
beta-Tocopherol,52.319,28244,,2660,,52.915,2677,,6,,52.772,1016,,261,
Hentriacontane (n-C31),52.865,3246995,,4988876,,52.834,3083,,2129,,52.829,273660,,454624,
Methyl Dipentadecyl amine (?),53.028,44788,,2570,,52.993,1910,,56,,53.006,2633,,63,
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE 153)",53.370,1026,,497,195,53.336,182027,,63679,47586,53.351,66,,,15
Dotriacontane (n-C32),54.143,1701395,,2499502,,54.119,121025,,193013,,54.117,144722,,223443,
Dihexdecyl amine (?),54.302,13732,,3126,,54.281,98,,30,,54.266,797,,89,
Vitamin E (or tocopherol isomer),54.295,5328747,,519686,,54.264,1186,,375,,54.266,428139,,6040,
Cholesterol,54.319,4089419,,6368602,,54.363,49965,,71252,,54.385,252893,,118978,
Lathosterol,55.183,239044,,,,54.342,29989,,32909,,54.405,237435,,255796,
"2,2',3,4,4',5-Hexabromodiphenyl ether (BDE 138)",55.159,94,,,,55.156,148169,,61430,46051,55.039,7,,8,
Tritriacontane (n-C33),55.403,1491034,,2246013,,55.894,937,,284,,55.364,120076,,192320,
Methyl dihexdecyl amine (?),55.566,121145,,25507,,55.532,4223,,907,,55.534,7962,,2098,
"Cholesta-3,5-dien-7-one",55.661,562887,,230264,,55.640,3811,,1905,,55.635,44327,,15011,
"Indeno(1,2,3-cd)pyrene",56.220,80786,,16253,,56.199,602408,,115449,,56.218,6602,,336,
Cholest-4-en-3-one,56.312,91042,,167295,,56.745,2757,,2681,,56.273,10204,,18231,
Tetratriacontane (n-C34),56.789,895484,,1371456,,56.759,111285,,173554,,56.761,79336,,116496,
beta-Sitosterol,56.959,191572,,256385,,56.975,942,,530,,57.110,3865,,,
"2,2',3,4,4',5',6-Heptabromodiphenyl ether (BDE 183)",56.955,131,,76,,56.935,90384,,87615,42754,56.991,61,,21,12
Diheptadecyl amine (?),56.952,27137,,3700,,56.928,3861,,104,,56.910,1791,,183,
"Benzo[g,h,i]perylene",57.318,80732,,14821,,57.287,457218,,78121,,57.313,5249,,203,
Pentatriacontane (n-C35),58.409,555106,,1008980,,58.209,57,,344,,58.360,61309,,81767,
Methyl diheptadecyl amine (?),58.599,2485589,,156620,,58.558,35889,,2232,,58.560,130737,,9951,
"2,2',3,4,4',5,6-Heptabromodiphenyl ether (BDE 181)",60.249,332,,,,59.893,56045,,54563,23692,59.892,21,,,
Hexatriacontane (n-C36),60.331,456514,,709188,,60.297,98030,,154024,,60.292,34777,,54237,
Dioctadecyl amine (?),60.544,101632,,8025,,60.496,1054,,22,,60.488,6815,,398,
Methyl dioctadecyl amine (?),62.869,25914809,,889789,,62.821,76143,,2998,,62.817,1336833,,45583,
Naphthalene-D8,16.448,2684262,,258722,,16.502,695750,,67881,,16.453,205909,,23171,
Acenaphthene-D10,24.879,1800688,,2364945,,24.865,425243,,550530,,24.874,129948,,166211,
Phenanthrene-D10,32.220,3596920,,439556,,32.216,854674,,103583,,32.218,279586,,30914,
Benz(a)anthracene-D12,45.250,3995295,,968374,,45.236,1108582,,259712,,45.231,294066,,71140,
Perylene-D12,52.021,1930353,,458263,,52.011,638106,,147752,,52.009,137734,,34416,
