Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,1ppm Biogenic Std,,,Qualifier 1 Results,Qualifier 2 Results,1ppm Biogenic Std,,,Qualifier 1 Results,Qualifier 2 Results,1ppm Biogenic Std,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
"2,2',4-Tribromodiphenyl ether (BDE 17)",40.594,139241,,138863,72399,40.581,3,,6,2,40.473,4,,4,,40.632,6,,6,
Tricosane (n-C23),40.851,1367,,2465,4852,40.998,23008,,46386,76368,41.002,21948,,48228,90456,41.019,13217,,42623,88923
C3-Phenanthrenes,40.194,522,,,,41.123,22,,,,40.948,23,,,,41.093,11,,,
"2,4,4'-Tribromodiphenyl ether (BDE 28)",41.482,118133,,123068,,41.459,13,,8,,41.381,4,,6,,41.961,15,,7,
DDD,41.888,290986,,179430,,41.876,16,,11,,41.846,162,,7,,42.012,50,,10,
Dihexyl phthalate (DHP),42.115,1016705,,11540,,42.079,118,,67,,42.154,76,,,,42.191,148,,,
Benzyl butyl phthalate (BBP),42.478,401705,,158581,17759,42.475,983,,,20,42.510,257,,505,47,42.500,619,,203,34
Tetracosane (n-C24),42.552,76865,,125727,,42.550,1454,,629,,42.544,1168,,1191,,42.544,1008,,859,
Bis(2-ethylhexyl) adipate,42.746,1032,,608,,42.777,120,,497,,42.761,334,,679,,42.764,413,,672,
"p,p'-DDT",42.996,225730,,141875,,43.075,33,,13,,42.903,16,,29,,42.998,34,,11,
Triphenyl phosphate,43.298,578,,246,,43.329,15,,,,43.320,19,,55,,43.455,7,,18,
Pentacosane (n-C25),44.162,8335,,13818,,44.380,26342,,40030,,44.404,25957,,47673,,44.438,35004,,56985,
bis(2-n-Butoxyethyl)phthalate,44.308,144101,,39292,,45.153,43949,,40,,45.153,41361,,85,,45.160,39770,,51,
"2,3',4',6-Tetrabromodiphenyl ether (BDE 71)",45.020,176397,,67739,43928,45.075,3,,5,6,45.075,6,,10,12,45.045,8,,8,
"2,3',4,5-Tetrabromodiphenyl ether (BDE 49)",45.077,178477,,68600,44169,45.075,3,,5,,45.075,6,,10,12,45.045,8,,8,
Dicyclohexyl phthalate,45.145,2028203,,192956,2934,45.153,43758,,3934,9,45.153,41147,,3787,19,45.160,39680,,4252,29
Bis(2-Ethylhexyl)phthalate (DEHP),45.145,2028222,,192953,9216,45.153,43741,,3944,202,45.153,41166,,3783,326,45.160,39693,,4275,187
Bis(2-ethylhexyl)phthalate (DEHP-D4),45.121,401852,,4569653,,45.264,31,,11,,45.302,41,,,,44.875,24,,33,
Benz[a]anthracene,45.348,330887,,23885,,45.373,21,,16,,45.201,16,,12,,45.330,66,,45,
Chrysene,45.545,309431,,18940,,45.583,41,,,,45.533,61,,28,,45.482,24,,21,
Dronabinol,45.623,102,,,,45.549,846,,688,,45.533,864,,163,,45.540,483,,305,
Hexacosane (n-C26),45.850,5707,,23596,,45.759,1120,,1456,,45.858,154,,1942,,45.763,1231,,2612,
"2,2',4,4'-Tetrabromodiphenyl ether (BDE 47)",45.806,135628,,102921,67602,45.949,6,,37,27,45.973,11,,12,6,45.614,5,,,3
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 66)",46.433,153192,,66062,42525,46.471,11,,11,,46.580,2,,2,4,46.516,4,,11,
Cannabinol,46.568,2716,,429,,46.562,4740,,90,,46.570,2457,,230,,46.560,1925,,384,
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 77)",47.460,131839,,25701,,47.440,3,,,,47.295,8,,4,,47.417,3,,6,
Heptacosane (n-C27),47.253,8740,,8348,,47.525,32292,,47053,,47.546,28863,,46202,,47.614,35792,,58529,
Di-n-octyl phthalate,48.212,1100618,,12759,3185,48.077,422,,30,60,48.217,502,,,88,48.217,1533,,11,
Octacosane (n-C28),48.730,83200,,137780,,48.986,26040,,70521,,48.979,28384,,71990,,48.979,27991,,70714,
"2,2',4,4',6-Pentabromodiphenyl ether (BDE 100)",48.819,100002,,76324,81104,48.806,19,,,19,48.983,104,,129,124,48.813,4,,5,
Squalene,49.039,7940556,,1528841,4611316,48.986,516440,,100649,383861,48.983,540760,,104426,396521,48.979,542373,,106328,393737
"2,3',4,4',6-Pentabromodiphenyl ether (BDE 119)",49.151,132622,,48365,51952,49.345,21,,24,17,49.074,9,,,8,49.217,3,,7,4
"2,2',4,4',5-Pentabromodiphenyl ether (BDE 99)",49.764,120173,,57329,59557,49.575,8,,9,8,49.904,19,,11,11,49.772,6,,7,6
Nonacosane (n-C29),50.137,4222,,6639,,50.138,4537,,,,50.409,708,,,,50.203,66,,,
Benzo(b)fluoranthene,50.388,381050,,33155,,50.375,46,,,,50.362,36,,,,50.250,10,,,
Benzo(k)fluoranthenene,50.482,381861,,37869,,50.375,45,,,,50.572,20,,,,50.250,10,,,
