Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,ZJ,,,Qualifier 1 Results,Qualifier 2 Results,ZJ_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Piperine,52.001,1909,,18,,51.782,6813,,,,51.007,6198,,55,
Benzo[a]pyrene,51.780,329346,,32133,,51.786,16136,,1538,,51.807,903,,40,
"2,2',4,4',5,6'-Hexabromodiphenyl ether (BDE 154)",51.950,124162,,56521,42141,51.962,588,,,,51.973,37,,,
Perylene,52.123,375413,,35935,,52.128,5087,,,,52.163,93,,45,
beta-Tocopherol,51.980,523,,6,,53.673,459740,,2277,,53.617,21580,,96,
Hentriacontane (n-C31),52.851,407,,2282,,52.853,870859,,1272954,,52.837,72348,,118783,
Methyl Dipentadecyl amine (?),53.014,142,,23,,53.019,10705,,739,,53.003,684,,19,
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE 153)",53.329,118280,,40188,29800,53.341,863,,184,350,53.613,205,,220,195
Dotriacontane (n-C32),54.122,81432,,130941,,54.134,556254,,869538,,54.115,42022,,68992,
Dihexdecyl amine (?),54.309,30,,15,,54.310,1962,,366,,54.467,22,,16,
Vitamin E (or tocopherol isomer),54.258,373,,36,,54.283,128053,,1853,,54.254,10570,,423,
Cholesterol,54.322,20,,,,54.314,281832,,467855,,54.447,5549,,,
Lathosterol,55.163,139,,,,55.192,21174,,18072,,54.495,23139,,13087,
"2,2',3,4,4',5-Hexabromodiphenyl ether (BDE 138)",55.156,96139,,38450,29959,55.164,33,,,8,55.450,25,,,17
Tritriacontane (n-C33),55.898,580,,,,55.395,399797,,670393,,55.376,31831,,49886,
Methyl dihexdecyl amine (?),55.708,31,,3,,55.547,24037,,5995,,55.542,1585,,417,
"Cholesta-3,5-dien-7-one",55.712,22,,,,55.652,64726,,34190,,55.643,6290,,1878,
"Indeno(1,2,3-cd)pyrene",56.206,439634,,83528,,56.225,22708,,5836,,56.216,1244,,42,
Cholest-4-en-3-one,56.742,2630,,1144,,56.293,8100,,8399,,56.179,301,,853,
Tetratriacontane (n-C34),56.755,74751,,111241,,56.774,315828,,503293,,56.752,23755,,37485,
beta-Sitosterol,56.952,31,,17,,56.971,150234,,205202,,57.206,1535,,3103,
"2,2',3,4,4',5',6-Heptabromodiphenyl ether (BDE 183)",56.932,62228,,60090,28957,56.961,756,,786,459,56.962,8,,40,
Diheptadecyl amine (?),56.949,709,,20,,56.937,6310,,766,,56.918,113,,6,
"Benzo[g,h,i]perylene",57.294,384582,,57069,,57.310,20011,,3154,,57.348,1014,,90,
Pentatriacontane (n-C35),58.223,488,,,,58.387,225859,,353452,,58.351,18457,,23399,
Methyl diheptadecyl amine (?),58.568,3117,,172,,58.584,292117,,14790,,58.558,18282,,1526,
"2,2',3,4,4',5,6-Heptabromodiphenyl ether (BDE 181)",59.890,44133,,40056,17157,60.200,161,,,,59.947,23,,,
Hexatriacontane (n-C36),60.290,64522,,99686,,60.309,183785,,292907,,60.290,12445,,27121,
Dioctadecyl amine (?),60.598,25,,,,60.543,15755,,886,,60.490,505,,24,
Methyl dioctadecyl amine (?),62.822,2190,,87,,62.850,1026301,,33446,,62.808,52516,,1602,
Acenaphthene-D10,24.869,336134,,435073,,24.881,1609443,,2096706,,24.875,100341,,134797,
Phenanthrene-D10,32.220,623281,,67539,,32.218,3164906,,384352,,32.226,193600,,25729,
Benz(a)anthracene-D12,45.233,691324,,166665,,45.245,3515140,,852253,,45.233,231294,,56114,
Perylene-D12,52.007,386629,,91378,,52.023,1668981,,385182,,52.017,108043,,28029,
